sat-search:0.3.0
sanic:24.12.0
voltron:0.1.7
sshtunnel:0.4.0
alarmdecoder:1.13.11
dicompyler-core:0.5.6
spiceypy:6.0.0
sumologic-sdk:0.1.17
westpa:2022.11
simpeg:0.22.2
ufo2ft:3.4.2
lewis:1.3.3
pyunicorn:0.8.0
sardana:3.5.1
s3cmd:2.4.0
poloniexapi:0.5.7
pygrib:2.1.6
pyrate:0.4.0
QGL:2020.1
mlxtend:0.23.4
gmr:1.6.2
genmod:3.8.1
gandi.cli:1.6
picoscope:0.7.31
motioneye:0.42.1
fontParts:0.12.3
pylinac:3.31.0
django-registration-redux:2.13
tlslite-ng:0.8.2
dynamic-rest:2.3.0
bloom:0.12.0
clay:4.6.2
pdfminer.six:20240706
ctapipe:0.20.0
bigcommerce:0.23.4
django-ses:4.4.0
imexam:0.9.1
djangosaml2:1.9.3
sslyze:6.1.0
pyani:0.2.12
poseidon:0.3.1
napalm_panos:0.6.2
maildump:1.0
cwltest:2.5.20241122133319
num2words:0.5.14
bioblend:1.4.0
yandextank:2.0.11
pyglotaran:0.6.0
mdv:1.7.5
cleancat:1.1.0
geometric:1.1
artifacts:20240518
pypuppetdb:3.2.0
django-easy-audit:1.3.7
django-push-notifications:3.2.0
inflect:7.5.0
django-cassandra-engine:1.9.0
spectral-cube:0.6.6
Flask-APScheduler:1.13.1
aldjemy:3.2
ecs-deploy:1.15.0
picassosr:0.7.5
kernel_tuner:1.0
nengo:4.0.0
pyfaidx:0.8.1.3
redis-py-cluster:2.1.3
pyodesys:0.14.4
google-auth:2.38.0
spyder-notebook:0.6.1
xarray:2024.7.0
cobra:0.29.1
routersploit:3.4.7
quickumls:1.4.2
yeti:2016.0.3
4scanner:1.6.3
genomepy:0.16.1
simple-salesforce:1.12.6
ndlib:5.1.1
django-seed:0.3.1
pyamg:5.2.1
python-gitlab:5.6.0
datadog:0.51.0
pyicloud:1.0.0
gns3-server:3.0.3
locust:2.32.10
rdflib:7.1.3
buildozer:1.5.0
qcodes:0.46.0
prettytable:3.14.0
tibanna:5.5.0
bioframe:0.7.2
thinc:9.1.1
gym:0.26.2
edx-repo-tools:2.0.0
pyfa:0
anthem:0.14.0
django-rest-registration:0.9.0
Flask-AppBuilder:4.5.4
gpkit:1.1.1
django-tenants:3.7.0
schema:0.7.7
beets:2.2.0
law:0.1.20
CairoSVG:2.7.1
nashpy:0.0.41
scikit-rf:1.5.0
chaco:6.0.0
openslide-python:1.4.1
cmsplugin_contact_plus:1.3.12
jrnl:3.3
python-jose:3.4.0
flasgger:0.9.7.1
hub:3.0.1
fab-classic:1.19.2
pyhocon:0.3.61
forex-python:1.8
django-crispy-forms:2.3
vyper:0.3.7
google-api-python-client:2.161.0
algoliasearch-django:4.0.0
approvaltests:14.3.0
findatapy:0.1.38
arm_pyart:1.19.2
Transcrypt:3.9.3
django-oidc-provider:0.8.3
sauna:0.0.19
napalm:5.0.0
nornir:3.5.0
django-lightweight-queue:4.11.0
vroom:1.0.2
nfcpy:1.0.4
pyqtgraph:0.13.7
praw:7.8.1
roboto:0.14.1
pook:2.1.3
planemo:0.75.26
music21:8.3.0
neurodynex3:1.0.4
pagarme-python:5.9.0
trackma:0.8.6
pydov:3.2.0
pykka:4.2.0
twarc:2.14.0
python3-saml:1.16.0
django-request-token:2.3.1
django-payments:3.0.1
ipyleaflet:0.19.2
snowflake_ingest:1.0.10
pyeapi:1.0.4
qutebrowser:3.4.0
tika:2.6.0
Genshi:0.7.9
patchwork:1.0.1
dominodatalab:1.4.5
atom:0.10.5
bumps:0.9.3
django-machina:1.3.1
scout:3.0.3
stellar-sdk:12.1.0
acos-client:2.10.0
weasyprint:64.1
kleborate:3.1.3
datalad:1.1.5
ascat:2.4.4
ecdsa:0.19.0
atomic-reactor:1.6.26.3
androguard:4.1.2
pymoca:0.11.1
gallery_dl:1.28.5
twitterscraper:1.6.1
flake8-bugbear:24.12.12
qbatch:2.3
aiohttp-session:2.12.1
gensim:4.3.3
togglCli:3.0.2
pyxero:0.9.4
pyspeckit:1.0.4
terminado:0.18.1
scikit-optimize:0.10.2
Axelrod:4.13.1
robotframework-seleniumlibrary:6.7.0
chebpy:0.2
pylast:5.3.0
canopen:2.3.0
django-cas-ng:5.0.1
ocrmypdf:15.4.4
pyecore:0.15.2
twtxt:1.3.1
django-csp-reports:1.9.1
cached-property:2.0.1
lifelines:0.30.0
python-igraph:0.11.8
arrow:1.3.0
python-ev3dev2:2.1.0.post1
multiqc:1.27.1
wradlib:2.2.0
hazm:0.10.0
healpy:1.17.3
shishito:3.1.16
django-mercadopago:6.0.1
grizzly-framework:0.22.1
rdmo:2.2.2
deltas:0.7.0
xrt:1.6.1
clint:0.5.1
hardware:0.32.0
cubical:1.6.4
dino:0.0.6
inasafe-core:4.4.0
overpass:0.7.2
django-easy-select2:1.5.8
py-evm:0.11.0b1
PyHive:0.7.0
carbonate:1.1.10
bingads:13.0.24.1
permuta:2.3.0
gimmemotifs:0.18.0
zappa:0.59.0
pdblp:0.1.8
django-silk:5.3.2
glyphsLib:6.10.1
robotframework-sshlibrary:3.8.0
branca:0.8.1
pymdown-extensions:10.14.3
scikit-survival:0.23.1
segyio:1.9.13
omorfi:0.9.10
mapillary_tools:0.13.0
metric-learn:0.7.0
minio:7.2.15
bezier:2023.7.28
sphinx-argparse:0.4.0
stripe:11.5.0
photon:1.1.8.3
pyswmm:2.0.1
tmuxp:1.53.0
meshio:5.3.5
django-health-check:3.18.3
naomi:0.1.2
osmapi:4.3.0
gwcs:0.21.0
georinex:1.16.2
sunpy:5.1.5
opsdroid:0.30.0
metomi-rose:2.4.0
template:0.7.6
mpf:0.57.3
odm:2.0.0
pytest-testrail:2.9.0
taskcat:0.9.56
cmd2:2.5.11
eyewitness:1.2.1
aiodocker:0.24.0
django_mock_queries:2.3.0
globus-cli:3.32.0
vaping:1.5.4
django-dynamic-raw-id:4.4
kaptive:3.0.0b6
soco:0.30.8
spylon-kernel:0.4.1
django-pagetree:1.5.0
nrfutil:6.1.7
behave-django:1.5.0
dpaste:3.5
sasview:5.0.6b4
qutip:5.0.4
scrapy-zyte-smartproxy:2.4.0
django-cas-server:2.1.0
snowflake-connector-python:3.13.2
edx-proctoring:5.1.2
mobly:1.12.2
scikit-build:0.18.1
pyhindsight:20241027
flask-smorest:0.45.0
