py_get_strided_loop
py_resolve_dtypes
py_resolve_dtypes_and_context
ufunc_accumulate
ufunc_at
ufunc_get_doc
ufunc_get_identity
ufunc_get_name
ufunc_get_nargs
ufunc_get_nin
ufunc_get_nout
ufunc_get_ntypes
ufunc_get_signature
ufunc_get_types
ufunc_outer
ufunc_reduce
ufunc_reduceat
ufunc_repr
