MPSModule_isInBadFork
MPSModule_isAvailable
MPSModule_isMacOSorNewer
MPSModule_getDefaultMPSGenerator
MPSModule_emptyCache
MPSModule_setMemoryFraction
MPSModule_currentAllocatedMemory
MPSModule_driverAllocatedMemory
MPSModule_recommendedMaxMemory
MPSModule_profilerStartTrace
MPSModule_profilerStopTrace
MPSModule_acquireEvent
MPSModule_releaseEvent
MPSModule_recordEvent
MPSModule_waitForEvent
MPSModule_synchronizeEvent
MPSModule_queryEvent
MPSModule_elapsedTimeOfEvents
