array_all
array_any
array_argmax
array_argmin
array_argpartition
array_argsort
array_array_namespace
array_astype
array_byteswap
array_choose
array_class_getitem
array_clip
array_complex
array_compress
array_conjugate
array_copy
array_copy_keeporder
array_cumprod
array_cumsum
array_deepcopy
array_diagonal
array_dlpack
array_dlpack_device
array_dot
array_dump
array_dumps
array_fill
array_finalizearray
array_flatten
array_format
array_function
array_getarray
array_getfield
array_max
array_mean
array_min
array_nonzero
array_partition
array_prod
array_put
array_ravel
array_reduce
array_reduce_ex
array_repeat
array_reshape
array_resize
array_round
array_searchsorted
array_setfield
array_setflags
array_setstate
array_sizeof
array_sort
array_squeeze
array_stddev
array_sum
array_swapaxes
array_take
array_tobytes
array_to_device
array_tofile
array_tolist
array_toscalar
array_tostring
array_trace
array_transpose
array_ufunc
array_variance
array_view
array_wraparray
