cfloat_complex
clongdouble_complex
complexfloatingtype_dunder_round
double_as_integer_ratio
double_is_integer
float_as_integer_ratio
floatingtype_dunder_round
float_is_integer
gentype_all
gentype_any
gentype_argmax
gentype_argmin
gentype_argsort
gentype_astype
gentype_byteswap
gentype_choose
gentype_clip
gentype_compress
gentype_conj
gentype_conjugate
gentype___copy__
gentype_copy
gentype_cumprod
gentype_cumsum
gentype___deepcopy__
gentype_diagonal
gentype_dump
gentype_dumps
gentype_fill
gentype_flatten
gentype_format
gentype_getarray
gentype_getfield
gentype_item
gentype_max
gentype_mean
gentype_min
gentype_nonzero
gentype_prod
gentype_put
gentype_ravel
gentype_reduce
gentype_repeat
gentype_reshape
gentype_resize
gentype_round
gentype_searchsorted
gentype_setfield
gentype_setflags
gentype_setstate
gentype_sizeof
gentype_sort
gentype_squeeze
gentype_std
gentype_sum
gentype_swapaxes
gentype_take
gentype_tobytes
gentype_tofile
gentype_tolist
gentype_tostring
gentype_trace
gentype_transpose
gentype_var
gentype_view
gentype_wraparray
half_as_integer_ratio
half_is_integer
integer_is_integer
integertype_dunder_round
longdouble_as_integer_ratio
longdouble_is_integer
npy_byte_bit_count
npy_int_bit_count
npy_long_bit_count
npy_longlong_bit_count
npy_short_bit_count
npy_ubyte_bit_count
npy_uint_bit_count
npy_ulong_bit_count
npy_ulonglong_bit_count
npy_ushort_bit_count
voidtype_getfield
voidtype_setfield
