arraydescr_base_get
arraydescr_dealloc
arraydescr_fields_get
arraydescr_hasobject_get
arraydescr_isalignedstruct_get
arraydescr_isbuiltin_get
arraydescr_isnative_get
arraydescr_metadata_get
arraydescr_name_get
arraydescr_names_get
arraydescr_ndim_get
arraydescr_new
arraydescr_newbyteorder
arraydescr_protocol_descr_get
arraydescr_protocol_typestr_get
arraydescr_reduce
arraydescr_repr
arraydescr_richcompare
arraydescr_setstate
arraydescr_shape_get
arraydescr_subdescr_get
