npyiter_close
npyiter_copy
npyiter_debug_print
npyiter_dtypes_get
npyiter_enable_external_loop
npyiter_enter
npyiter_exit
npyiter_finished_get
npyiter_has_delayed_bufalloc_get
npyiter_has_index_get
npyiter_has_multi_index_get
npyiter_index_get
npyiter_init
npyiter_iterationneedsapi_get
npyiter_iterindex_get
npyiter_iternext
npyiter_iterrange_get
npyiter_itersize_get
npyiter_itviews_get
npyiter_multi_index_get
npyiter_ndim_get
npyiter_new
npyiter_next
npyiter_nop_get
npyiter_operands_get
npyiter_remove_axis
npyiter_remove_multi_index
npyiter_reset
npyiter_shape_get
npyiter_value_get
