PyAudio_Initialize
PyAudio_Terminate
PyAudio_GetSampleSize
PyAudio_IsFormatSupported
PyAudio_GetPortAudioVersion
PyAudio_GetPortAudioVersionText
PyAudio_GetHostApiCount
PyAudio_GetDefaultHostApi
PyAudio_HostApiTypeIdToHostApiIndex
PyAudio_HostApiDeviceIndexToDeviceIndex
PyAudio_GetHostApiInfo
PyAudio_GetDeviceCount
PyAudio_GetDefaultInputDevice
PyAudio_GetDefaultOutputDevice
PyAudio_GetDeviceInfo
PyAudio_GetStreamTime
PyAudio_GetStreamCpuLoad
PyAudio_OpenStream
PyAudio_CloseStream
PyAudio_StartStream
PyAudio_StopStream
PyAudio_AbortStream
PyAudio_IsStreamStopped
PyAudio_IsStreamActive
PyAudio_ReadStream
PyAudio_WriteStream
PyAudio_GetStreamWriteAvailable
PyAudio_GetStreamReadAvailable
get_name
antiset
get_structVersion
get_hostApi
get_maxInputChannels
get_maxOutputChannels
get_defaultLowInputLatency
get_defaultLowOutputLatency
get_defaultHighInputLatency
get_defaultHighOutputLatency
get_defaultSampleRate
get_sampleRate
get_outputLatency
get_inputLatency
get_type
PyInit__portaudio
get_defaultInputDevice
get_defaultOutputDevice
get_deviceCount
