X509V3_set_ctx
GENERAL_NAME_print
GENERAL_NAMES_free
X509V3_EXT_d2i
X509V3_EXT_nconf
X509V3_set_ctx_nodb
sk_GENERAL_NAME_num
sk_GENERAL_NAME_value
