ASN1_STRING_get0_data
ASN1_INTEGER_free
ASN1_TIME_new
ASN1_TIME_free
ASN1_TIME_set_string
ASN1_GENERALIZEDTIME_free
ASN1_STRING_type
ASN1_STRING_to_UTF8
i2a_ASN1_INTEGER
ASN1_TIME_to_generalizedtime
ASN1_STRING_length
ASN1_INTEGER_to_BN
BN_to_ASN1_INTEGER
