BIO_free
BIO_new_file
BIO_read
BIO_write
BIO_new
BIO_s_mem
BIO_new_mem_buf
BIO_set_mem_eof_return
BIO_get_mem_data
BIO_should_read
BIO_should_write
BIO_should_io_special
BIO_should_retry
BIO_ADDR_new
BIO_ADDR_free
